"Year","Location1"
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0.2
1708,6.05
1709,6.05
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0.01
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,9.77
1852,6.79
1853,10.27
1854,7.24
1855,7.66
1856,8.34
1857,5.98
1858,6.92
1859,7.91
1860,0
1861,5.93
1862,1.63
1863,0.17
1864,6.19
1865,3.49
1866,0.38
1867,6.86
1868,8.11
1869,6.59
1870,0.9
1871,8.74
1872,8.43
1873,8.76
1874,5.36
1875,7.45
1876,0
1877,3.06
1878,5.27
1879,0.05
1880,0.59
1881,4.97
1882,0
1883,9.64
1884,0
1885,2.11
1886,5.39
1887,2.35
1888,6.54
1889,5.87
1890,0
1891,2.98
1892,11.32
1893,6.33
1894,0.55
1895,4.86
1896,0.73
1897,0
1898,4.57
1899,7.48
1900,6.87
1901,0.59
1902,2.46
1903,3.36
1904,7.57
1905,6.76
1906,5.66
1907,0.03
1908,1.75
1909,6.99
1910,1.35
1911,1.61
1912,1.03
1913,5.18
1914,0
1915,0
1916,7.63
1917,4.29
1918,3.94
1919,3.51
1920,6.18
1921,6.93
1922,0.03
1923,0.23
1924,0.5
1925,6.43
1926,3.85
1927,7.09
1928,5.92
1929,0.6
1930,4.84
1931,0
1932,1.96
1933,1.42
1934,5.82
1935,7.03
1936,8.55
1937,0.13
1938,6.25
1939,1.41
1940,2.52
1941,7.79
1942,0.02
1943,6.7
1944,5.96
1945,5.96
1946,0.04
1947,0.29
1948,2.41
1949,2.79
1950,2.06
1951,0.65
1952,4.56
1953,5.53
1954,4.32
1955,1.17
1956,5.1
1957,0.05
1958,9.4
1959,6.51
1960,9.62
1961,0.04
1962,0.42
1963,6.84
1964,0.09
1965,0.16
1966,0.05
1967,2.47
1968,0.01
1969,5.56
1970,6.39
1971,4.66
1972,2.01
1973,0.01
1974,0.63
1975,1.53
1976,3.07
1977,6.41
1978,0.22
1979,6.38
1980,4.92
1981,0.15
1982,6.52
1983,3.24
1984,0.35
1985,0.01
1986,7.06
1987,1.23
1988,3.4
1989,0.48
1990,0.01
1991,0
1992,7.99
1993,5.11
1994,0.01
1995,0.02
1996,1.12
1997,1
1998,0.01
1999,2.52
2000,7.39
2001,0.72
2002,0.01
2003,0.09
2004,0.02
2005,2.59
2006,0.02
2007,1.12
2008,2.02
2009,0.04
2010,0
2011,5.99
2012,0.03
2013,2.01
2014,1.26
